Customer ID,Name,Date,Product/Service,Category,Rating,Feedback Text
CUST045,Ethan C.,2024-04-10,ERP Billing,Functionality,3,ERP Billing is rated 3 for functionality.
CUST046,Mia B.,2024-04-28,ERP HR,Performance,4,ERP HR is rated 4 for performance.
CUST047,Ava N.,2024-04-21,ERP CRM,Pricing,5,ERP CRM is rated 5 for pricing.
CUST048,John M.,2024-04-10,ERP Inventory,Pricing,4,ERP Inventory is rated 4 for pricing.
CUST049,Ava N.,2024-04-01,ERP Reports,Usability,2,ERP Reports is rated 2 for usability.
CUST050,Noah L.,2024-04-29,ERP Billing,Pricing,2,ERP Billing is rated 2 for pricing.
CUST051,Isabella R.,2024-04-09,ERP Reports,Pricing,4,ERP Reports is rated 4 for pricing.
CUST052,James D.,2024-04-19,ERP Reports,Usability,2,ERP Reports is rated 2 for usability.
CUST053,Ethan C.,2024-04-03,ERP Reports,Functionality,5,All features are working perfectly.
CUST054,James D.,2024-05-01,ERP Inventory,Support,4,Support team was helpful and resolved my issue.
CUST055,Sarah J.,2024-04-03,ERP Inventory,Usability,3,ERP Inventory is rated 3 for usability.
CUST056,Mia B.,2024-04-29,ERP Inventory,Support,5,ERP Inventory is rated 5 for support.
CUST057,Sophia G.,2024-04-15,ERP Inventory,Performance,4,ERP Inventory is rated 4 for performance.
CUST058,Ethan C.,2024-04-07,ERP Billing,Performance,2,ERP Billing is rated 2 for performance.
CUST059,David P.,2024-04-20,ERP Reports,Support,5,ERP Reports is rated 5 for support.
CUST060,Olivia T.,2024-04-10,ERP CRM,Performance,2,ERP CRM is rated 2 for performance.
CUST061,Noah L.,2024-04-24,ERP CRM,Usability,2,ERP CRM is rated 2 for usability.
CUST062,Ava N.,2024-04-25,ERP Inventory,Support,4,Support team was helpful and resolved my issue.
CUST063,Ethan C.,2024-04-27,ERP Inventory,Performance,1,System crashes frequently under heavy use.
CUST064,Emma W.,2024-04-23,ERP HR,Functionality,3,ERP HR is rated 3 for functionality.
CUST065,Mia B.,2024-04-02,ERP Reports,Usability,4,"Usability is good, but a few tweaks are needed."
CUST066,James D.,2024-04-26,ERP CRM,Support,4,Support team was helpful and resolved my issue.
CUST067,Sarah J.,2024-04-04,ERP Inventory,Performance,4,ERP Inventory is rated 4 for performance.
CUST068,Sarah J.,2024-04-01,ERP Reports,Functionality,1,ERP Reports is rated 1 for functionality.
CUST069,Ethan C.,2024-04-03,ERP Reports,Usability,4,"Usability is good, but a few tweaks are needed."
CUST070,Isabella R.,2024-04-28,ERP HR,Pricing,3,Pricing is okay but could be more flexible.
